Nom du Produit en Français,Type de production,Catégorie,Score unique EF3.1 (mPt/kg),Changement climatique (kg CO2 eq/kg),Appauvrissement de la couche d'ozone (kg CFC11 eq/kg),Rayonnements ionisants (kBq U-235 eq/kg),Formation photochimique d'ozone (kg NMVOC eq/kg),Particules (disease inc./kg),Effets toxicologiques sur la santé humaine : substances non-cancérogènes* (CTUh/kg),Effets toxicologiques sur la santé humaine : substances cancérogènes* (CTUh/kg),Acidification terrestre et eaux douces (mol H+ eq/kg),Eutrophisation eaux douces (kg P eq/kg),Eutrophisation marine (kg N eq/kg),Eutrophisation terreste (mol N eq/kg),Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg),Utilisation du sol (Pt/kg),Épuisement des ressources eau (m3 depriv./kg),Épuisement des ressources énergétiques (MJ/kg),Épuisement des ressources minéraux (kg Sb eq/kg),Changement climatique - émissions biogéniques (kg CO2 eq/kg),Changement climatique - émissions fossiles (kg CO2 eq/kg),Changement climatique - émissions liées au changement d'affectation des sols (kg CO2 eq/kg)
"Betterave pour du jus, conventionnel, à la ferme, France",Culture,Agricultural\Plant production\Roots and tubers\Transformation,0.011181053,0.077000741,1.2777624e-09,0.0032236713,0.00028903893,5.0080132e-09,2.8525243e-09,8.9191692e-11,0.00068752111,1.2881773e-05,0.00047944365,0.0024652657,2.74928947,2.5602706,0.29883141,0.6036759,8.2644042e-07,3.5815858e-05,0.076728864,0.00023606106
"Betteraves, moyen conventionnel, national, alimentation animale, à la ferme, France",Culture,Agricultural\Animal feed\Feed ingredients\Transformation\Roots and tubers based,0.0059671657,0.038400502,6.2825862e-10,0.0018011734,0.00010414634,3.6241032e-09,2.5209911e-09,6.2541358e-11,0.00053448862,9.5455728e-06,0.00028475275,0.0023417613,2.30932271,7.6718129,0.017618213,0.19528701,1.5028387e-07,8.2844919e-05,0.029341387,0.00897627
"Blé dur, conventionnel, moyenne nationale, à la ferme, France",Culture,Agricultural\Plant production\Cereals\Transformation,0.091423379,0.73260721,9.0183729e-09,0.032256948,0.0023656983,5.4574959e-08,8.0432372e-09,1.3465386e-09,0.0089064029,0.000235699,0.0077423763,0.039562057,5.1555592,104.01992,0.44952111,3.7662174,2.3229803e-06,0.00014402833,0.61057723,0.12188595
"Blé tendre, conventionnel, améliorant protéine, 15% d'humidité, à la ferme, France",Culture,Agricultural\Plant production\Cereals\Transformation,0.0839398309999999,0.65185255,8.7524958e-09,0.025663634,0.0022898825,5.7592112e-08,7.7971411e-09,1.0450869e-09,0.0093128347,0.00014939751,0.0063092688,0.041421847,10.5051585,77.253304,0.34509977,3.3874795,2.1215918e-06,0.00016035508,0.56129032,0.090401873
"Blé tendre, conventionnel, moyenne nationale, alimentation animale, à la ferme, France",Culture,Agricultural\Plant production\Cereals\Transformation,0.064235191,0.47229038,6.4129605e-09,0.010719945,0.0015615221,4.691438e-08,2.5978762e-09,7.6170444e-10,0.0074020551,0.00010999814,0.0051658877,0.032289078,9.9158369,69.199264,0.14308273,2.2176601,1.6811547e-06,0.00012186826,0.39118449,0.080984021
"Blé tendre, conventionnel, panifiable, 15% d'humidité, à la ferme, France",Culture,Agricultural\Plant production\Cereals\Transformation,0.064280036,0.47264204,6.417333e-09,0.010725267,0.0015626531,4.6942437e-08,2.5994413e-09,7.6225506e-10,0.0074065715,0.00011007586,0.0051696501,0.032308811,9.9251284,69.246986,0.14317852,2.2193689,1.6825217e-06,0.00012192601,0.39148024,0.081039878
"Blé tendre, levier culture intermédiaire systématique du scénario, à la ferme, France",Culture,Agricultural\Plant production\Cereals\Transformation,0.060194273,0.44549504,6.3915778e-09,0.0098060641,0.0014691794,4.8123843e-08,1.0412687e-08,6.8502609e-10,0.0075421435,9.3671661e-05,0.0040696049,0.033234592,4.9704166,61.634971,0.16019659,2.1167368,1.3609514e-06,8.73336e-05,0.37330126,0.072106443
"Blé tendre, levier légumineuse dans rotation, à la ferme, France",Culture,Agricultural\Plant production\Cereals\Transformation,0.0589010509999999,0.42903985,5.731476e-09,0.0089412798,0.0013314291,4.3191712e-08,1.0049761e-08,6.6737923e-10,0.0067706042,8.9728411e-05,0.0050150817,0.029807812,5.0223828,71.06043,0.1465729,1.8966516,1.2114814e-06,7.9369723e-05,0.34572138,0.083239093
"Blé tendre, scénario de base, à la ferme, France",Culture,Agricultural\Plant production\Cereals\Transformation,0.060542562,0.4445626,6.2783818e-09,0.0094534545,0.0014556664,4.7477264e-08,1.0879129e-08,5.7183184e-10,0.0074498036,9.3318803e-05,0.0049697319,0.032882115,3.6609278,61.626839,0.15972047,2.0443829,1.2977475e-06,8.5697274e-05,0.37237267,0.072104232
"Boeuf, moyenne nationale, à la ferme, France",Elevage,Agricultural\Animal production\Bovine\Transformation,1.3518282,14.474184,5.4273208e-08,0.30685289,0.020942186,1.3817053e-06,2.1237667e-07,5.7423135e-09,0.2055071,0.00057342882,0.043273688,0.91130068,72.969244,965.59624,1.1559368,24.202021,1.7488165e-05,10.881833,3.6200385,-0.027686679
"Brebis de réforme, conventionnel, intérieur, à la ferme, France",Elevage,Agricultural\Animal production\Ovine\Transformation,2.0403133,18.277782,6.8837761e-08,0.23990469,0.027257438,2.3192601e-06,2.9328906e-07,8.3787684e-09,0.34324591,0.00081134845,0.072251616,1.5271387,71.60073600000001,1806.9788,1.0605689,27.636369,2.1016636e-05,12.364901,5.3284688,0.58441226
"Brebis de réforme, conventionnel, système Roquefort , à la ferme, France",Elevage,Agricultural\Animal production\Ovine\Transformation,1.0287389,7.1288865,4.5972606e-08,0.23763096,0.012072869,1.3391538e-06,1.0358822e-07,4.0225842e-09,0.19547454,0.0005447465,0.029603477,0.86767254,43.091496,766.85,1.6354931,18.004795,1.0998089e-05,4.2627631,2.9947175,-0.12859416
"Canard à rôtir,  conventionnel, à la ferme, France",Elevage,Agricultural\Animal production\Avian\Transformation,0.46387401,3.0044383,4.4649952e-08,0.17855559,0.0095020865,4.8740367e-07,4.3836749e-08,3.1289941e-09,0.069222214,0.00052420113,0.018035001,0.30084871,133.15131,209.13257,1.1464256,16.982273,9.2065179e-06,0.70117291,1.7434379,0.55982742
"Canard Engraissement,  conventionnel, à la ferme, France",Elevage,Agricultural\Animal production\Avian\Transformation,0.5561084300000001,3.1339818,5.953831e-08,0.483091,0.0089341056,6.6136559e-07,3.7136218e-08,3.2384773e-09,0.094994857,0.0006867777,0.020388037,0.41744109,81.137411,231.89648,1.4662798,25.840509,1.1197993e-05,0.77712791,2.0645401,0.29231379
"Carotte conventionnelle, moyenne nationale, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.017549519,0.067747759,3.1225603e-09,0.023361262,0.00025376935,6.6649319e-09,5.747495e-09,1.1187463e-10,0.00094785215,2.369872e-05,0.00086790745,0.0025040223,13.227628,6.450537,0.2805004,1.1579311,9.633161e-07,9.2132866e-05,0.067592249,6.3377671e-05
"Carotte, conventionnel, automne, Creances, Basse-Normandie, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.0078541219,0.048468174,2.7350036e-09,0.0061452219,0.00016609899,3.4917117e-09,1.1399316e-09,7.1059872e-11,0.00044361928,1.475852e-05,0.00033947304,0.0015184183,4.047427,6.1907305,0.063545434,0.63574186,5.1897656e-07,4.0496401e-05,0.048377446,5.0231208e-05
"Carotte, conventionnel, automne, Mont St. Michel, Basse-Normandie, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.0070872042,0.047506944,2.0511216e-09,0.0030348728,0.0001581938,3.1279038e-09,1.3688213e-09,6.5797302e-11,0.00042368761,1.2125365e-05,0.00043784105,0.0015390187,3.4657651,5.8362734,0.02192567,0.54202653,4.4335803e-07,2.8197358e-05,0.047437905,4.0841804e-05
"Carotte, conventionnel, automne, Val de Saire, Basse-Normandie, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.0072276644,0.047479551,1.7222101e-09,0.0033517094,0.00015464167,3.3129819e-09,1.282745e-09,7.1280897e-11,0.00045062054,1.3286832e-05,0.00055551554,0.0016141147,2.7790384,6.941672,0.020720266,0.50950379,4.8665248e-07,2.5393591e-05,0.047407344,4.6812937e-05
"Carotte, conventionnel, de saison, Aquitaine, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.014832415,0.047193539,1.963869e-09,0.030651323,0.00017693698,4.7746576e-09,4.7497264e-09,1.1390436e-10,0.00068552408,2.3610174e-05,0.00035908545,0.0016060356,10.61039908,7.0116392,0.38786244,0.99111378,7.8391681e-07,7.3433668e-05,0.047070738,4.9366809e-05
"Carotte, conventionnel, hiver, Aquitaine, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.015308881,0.057319981,2.9898782e-09,0.02056267,0.00024188919,5.7521989e-09,5.1855801e-09,9.9635007e-11,0.00085170184,2.0844115e-05,0.00038357614,0.0021761599,13.100103,5.6565303,0.25024147,0.94324637,8.8656239e-07,7.6532669e-05,0.057196075,4.7373354e-05
"Carotte, conventionnel, hiver, Creances, Basse-Normandie, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.0311143959999999,0.12560808,7.1157203e-09,0.018484569,0.00046964029,1.5603364e-08,1.1120357e-08,1.4459783e-10,0.0022241376,2.674589e-05,0.0024352906,0.0069934705,24.886919400000004,6.2835396,0.1809627,1.642279,1.8004163e-06,0.00014869688,0.12535725,0.00010212951
"Carotte, conventionnel, hiver, Mont St. Michel, Basse-Normandie, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.0104268449999999,0.064855126,3.0512373e-09,0.0039960331,0.00021083258,4.155013e-09,5.5933567e-09,7.9349534e-11,0.00056481848,1.4820238e-05,0.00086219832,0.0020426384,5.1972907,6.2875303,0.027669435,0.68965901,6.0545814e-07,3.5369146e-05,0.064765148,5.4609202e-05
"Carotte, conventionnel, hiver, Val de Saire, Basse-Normandie, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.0090649743,0.060940322,3.4085813e-09,0.0044835936,0.00019865715,3.9083121e-09,1.5216441e-09,7.1966908e-11,0.00051952345,1.4257909e-05,0.0005512765,0.0017905236,5.2276586,5.1568086,0.028609758,0.71282276,6.3098187e-07,3.7746036e-05,0.060843785,5.8790315e-05
"Carotte, conventionnel, précoce, Aquitaine, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.022645427,0.079853173,2.9374506e-09,0.034261031,0.00029980801,7.4709571e-09,7.7989937e-09,1.3383927e-10,0.0010626385,3.1424627e-05,0.0012455895,0.0022651199,17.54646228,6.8170077,0.42046934,1.6271053,1.1424169e-06,0.00013654858,0.079637478,7.914635e-05
