CIQUAL CODE 2020;CIQUAL NAME 2020;Present in Agribalyse 3.2
25438;Brick garni (garniture : crevettes, légumes, volaille, viande, poisson, etc.), fait maison, cuit;Oui
25503;Bouchée à la reine, au poisson et fruits de mer;Oui
25508;Feuilleté ou Friand jambon fromage;Oui
25551;Beignet de viande, volaille ou poisson, fait maison, cru;Oui
25557;Brick à l'oeuf, fait maison, cuit;Oui
25558;Brick au boeuf;Oui
25559;Brick à la pomme de terre, fait maison, cuit;Oui
25578;Feuilleté salé (aliment moyen);
25580;Bouchée à la reine, garnie (aliment moyen);
25582;Nem ou Pâté impérial, au poulet, préemballé, cuit;Oui
25583;Nem ou Pâté impérial, au porc, préemballé, cuit;Oui
25584;Nem ou Pâté impérial, aux crevettes et/ou au crabe, préemballé, cuit;Oui
26266;Croissant au jambon fromage, préemballé;Oui
13004;Avocat, pulpe, cru;Oui
20004;Bette ou blette, crue;Oui
20009;Carotte, crue;Oui
20010;Champignon, tout type, cru;
20012;Salade ou chicorée frisée, crue;Oui
20014;Chou rouge, cru;Oui
20016;Chou-fleur, cru;Oui
20019;Concombre, pulpe et peau, cru;Oui
20020;Courgette, pulpe et peau, crue;Oui
20022;Cresson de fontaine, cru;Oui
20023;Céleri branche, cru;Oui
20026;Endive, crue;Oui
20028;Fenouil, cru;Oui
20031;Laitue, crue;Oui
20034;Oignon, cru;Oui
20038;Pissenlit, cru;Oui
20039;Poireau, cru;Oui
20041;Poivron, vert, jaune ou rouge, cru;Oui
20044;Potiron, cru;Oui
20045;Radis rouge, cru;Oui
20047;Tomate, crue;Oui
20052;Artichaut, cru;Oui
20053;Aubergine, crue;Oui
20054;Cardon, cru;Oui
20055;Céleri-rave, cru;Oui
20056;Champignon de Paris ou champignon de couche, cru;
20057;Brocoli, cru;Oui
20058;Chou de Bruxelles, cru;Oui
20059;Épinard, cru;Oui
20061;Haricot vert, cru;Oui
20064;Navet, pelé, cru;Oui
20065;Chou-rave, cru;Oui
20069;Chou vert, cru;Oui
20070;Haricot vert, surgelé, cru;Oui
20072;Petits pois, crus;Oui
20073;Asperge, pelée, crue;Oui
20082;Chou-fleur, surgelé, cru;Oui
20083;Épinard, surgelé, cru;Oui
20084;Petits pois, surgelés, crus;Oui
20085;Poivron vert, cru;Oui
20087;Poivron rouge, cru;Oui
20089;Radis noir, cru;Oui
20090;Scarole, crue;Oui
20091;Betterave rouge, crue;Oui
20097;Échalote, crue;Oui
20099;Mâche, crue;Oui
20101;Légumes, mélange surgelé, crus;Oui
20103;Champignon, chanterelle ou girolle, crue;
20105;Champignon, morille, crue;Oui
20106;Champignon, truffe noire, crue;
20108;Maïs doux, en épis, surgelé, cru;Oui
20111;Oseille, crue;Oui
20114;Champignon, pleurote, crue;
20116;Chou blanc, cru;Oui
20119;Tomate verte, crue;Oui
20123;Batavia, crue;
20126;Haricot de Lima, cru;Oui
20128;Courge musquée, pulpe, crue;Oui
20132;Potimarron, pulpe, cru;Oui
20134;Courge hokkaïdo, pulpe, crue;Oui
20136;Courge melonnette, pulpe, crue;Oui
20138;Courge doubeurre (butternut), pulpe, crue;Oui
20139;Courge, crue;Oui
20145;Courge spaghetti, pulpe, crue;Oui
20151;Piment, cru;Oui
20159;Champignon, oronge vraie, crue;
20160;Champignon, cèpe, cru;
20161;Champignon, rosé des prés, cru;
20162;Chicorée rouge, crue;Oui
20163;Chicorée verte, crue;Oui
20166;Citrouille, pulpe, crue;Oui
20167;Chou chinois ou pak-choi ou pé-tsai, cru;Oui
20168;Poivron jaune, cru;Oui
20171;Laitue romaine, crue;Oui
20172;Tomate cerise, crue;Oui
20173;Pois mange-tout ou pois gourmand, cru;Oui
20181;Panais, cru;Oui
20183;"Haricot mungo germé ou pousse de ""soja"", cru";Oui
20192;Tomate côtelée ou coeur de boeuf, crue;
20195;Haricot beurre, cru;Oui
20197;Salsifis noir, ou scorsonère d'Espagne, cru;Oui
20198;Bambou, pousse, crue;Oui
20199;Cresson alénois, cru;Oui
20200;Laitue iceberg, crue;Oui
20201;Rutabaga, cru;Oui
20203;Haricot beurre, surgelé, cru;Oui
20204;Brocoli, surgelé, cru;Oui
20206;Chou de Bruxelles, surgelé, cru;Oui
20208;Carotte, surgelée, crue;Oui
20210;Concombre, pulpe, cru;Oui
20214;Petits pois et carottes, surgelés, crus;Oui
20217;Roquette, crue;Oui
20218;Chou frisé, cru;Oui
20228;Champignon de Paris ou champignon de couche, surgelé, cru;
20230;Courgette, pulpe et peau, surgelée, crue;Oui
20231;Crosne, surgelé, cru;Oui
20232;Artichaut, fond, surgelé, cru;Oui
20233;Maïs doux, surgelé, cru;Oui
20234;Navet, surgelé, cru;Oui
20235;Oignon, surgelé, cru;Oui
20236;Poireau, surgelé, cru;Oui
20237;Salsifis, surgelé, cru;Oui
20238;Oignon rouge, cru;
20239;Oignon jaune, cru;
20263;Légumes pour potages, surgelés, crus;Oui
20265;Julienne ou brunoise de légumes, surgelée, crue;Oui
20266;Légumes pour ratatouille, surgelés;Oui
20267;Printanière de légumes, surgelée, crue (haricots verts, carottes, pomme de terre, petits pois, oignons);Oui
20269;Haricot plat, cru;Oui
20270;Épinard, jeunes pousses pour salades, cru;Oui
20272;Mesclun ou salade, mélange de jeunes pousses;Oui
20276;Tomate ronde, crue;
20279;Asperge, verte, crue;Oui
20280;Chou romanesco ou brocoli à pomme, cru;Oui
20282;Asperge, blanche ou violette, pelée, crue;Oui
20283;Salicorne (Salicornia sp.), fraîche;Oui
20288;Salade sucrine, crue;
20295;Salade feuille de chêne, crue;
20496;Légumes pour couscous, surgelés, crus;Oui
20584;Tomate grappe, crue;
25604;Salade verte, crue, sans assaisonnement;Oui
53100;Banane plantain, crue;Oui
13177;Chayote ou christophine ou chouchou, bouillie/cuite à l'eau;
20000;Artichaut, cuit;Oui
20001;Asperge, bouillie/cuite à l'eau;Oui
20002;Aubergine, cuite;Oui
20003;Betterave rouge, cuite;Oui
20005;Bette ou blette, cuite;Oui
20006;Brocoli, cuit;Oui
20007;Carotte, appertisée, égouttée;Oui
20008;Carotte, cuite;Oui
20011;Champignon, tout type, appertisé, égoutté;
