Category;Category 2;AGB Code;CIQUAL Code;French name;English name;Recipe name;Recipe LCI name;Recipe origin;Proxy from another recipe
produits sucrés;chocolats et produits à base de chocolat; 31072;31072;Chocolat noir fourrage confiseur à la menthe;Dark chocolate, filled with mint confectionery;Dark chocolate 70%;Dark chocolate 70%, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from Alliance 7 and its members;
fruits, légumes, légumineuses et oléagineux;pommes de terre et autres tubercules; 4021;4021;Pomme de terre dauphine, surgelée, cuite;Dauphine potato, frozen, cooked;Dauphine potato, frozen, cooked;Dauphine potato, frozen, cooked, recipe, at plant {FR} U;Agribalyse;
fruits, légumes, légumineuses et oléagineux;pommes de terre et autres tubercules; 4020;4020;Pomme de terre dauphine, surgelée, crue;Dauphine potato, frozen, raw;Dauphine potato, frozen, raw;Dauphine potato, frozen, raw, recipe, at plant {FR} U;Agribalyse;
entrées et plats composés;plats composés; 25056;25056;"Dauphiné-style creamed potatoes ""au gratin""";Dauphine-style creamed potatoes au gratin;Dauphine-style creamed potatoes au gratin;Dauphine-style creamed potatoes au gratin, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;gâteaux et pâtisseries; 23008;23008;Entremets type Opéra;Dessert, Opera cake type;Dessert, Opera cake type;Dessert, Opera cake type, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
fruits, légumes, légumineuses et oléagineux;légumes; 20051;20051;Macédoine de légumes, appertisée, égouttée;Diced mixed vegetables, canned, drained;Diced mixed vegetables, canned;Diced mixed vegetables, canned, recipe, at plant {FR} U;"CTCPA for Agribalyse - see specific report ""CTCPA pour Agribalyse V3.1 :  INVENTAIRES PRODUITS, PROCEDES ET DONNEES SUR LES PERTES ET LE STOCKAGE""";
produits céréaliers;gâteaux et pâtisseries; 23885;23885;Beignet fourré goût chocolat, préemballé;Doughnut filled with chocolate, prepacked;Doughnut filled with chocolate, prepacked;Doughnut filled with chocolate, prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;gâteaux et pâtisseries; 23884;23884;Beignet fourré aux fruits, préemballé;Doughnut filled with fruits, prepacked;Doughnut filled with fruits, prepacked;Doughnut filled with fruits, prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;gâteaux et pâtisseries; 23881;23881;Beignet à la confiture;Doughnut filled with jam;Doughnut filled with jam;Doughnut filled with jam, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;gâteaux et pâtisseries; 23880;23880;Beignet rond moelleux, sans fourrage, saupoudré de sucre;Doughnut, plain;Doughnut, plain;Doughnut, plain, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;pâtes, riz et céréales; 9822;9822;Pâtes sèches, aux œufs, cuites, non salées;Dried egg pasta, cooked, unsalted;Dried egg pasta, cooked, unsalted;Dried egg pasta, cooked, unsalted, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;pâtes, riz et céréales; 9874;9874;Pâtes sèches, sans gluten, crues;Dried pasta, gluten-free, raw;Dried pasta, gluten-free, raw;Dried pasta, gluten-free, raw, recipe, at plant {FR} U;"GINGKO21 for Agribalyse - see specific report ""Agribalyse 3.1 Repports spécifiques aux 50 nouveaux ICV créés""";
produits céréaliers;céréales de petit-déjeuner et biscuits; 24686;24686;Génoise sèche fourrée aux fruits et nappée de chocolat;Dried sponge cake filled with fruits and covered with chocolate;Sponge cake w fruit mousse;Sponge cake w fruit mousse, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
fruits, légumes, légumineuses et oléagineux;pommes de terre et autres tubercules; 4034;4034;Pomme de terre duchesse, surgelée, cuite;Duchesse potato, frozen, cooked;Duchesse potato, frozen, cooked;Duchesse potato, frozen, cooked, recipe, at plant {FR} U;Agribalyse;
fruits, légumes, légumineuses et oléagineux;pommes de terre et autres tubercules; 4042;4042;Pomme de terre duchesse, surgelée, crue;Duchesse potato, frozen, raw;Duchesse potato, frozen, raw;Duchesse potato, frozen, raw, recipe, at plant {FR} U;Agribalyse;
